Index,Sample,Component,Expected,Obtained,AbsError,RelError
206,103,Real,-15.59430352,nan,nan,nan
207,103,Imag,2.969320939,nan,nan,nan
208,104,Real,5.015380096,nan,nan,nan
209,104,Imag,1.096061415,-nan,nan,nan
210,105,Real,-1.126023359,nan,nan,nan
211,105,Imag,-0.1408624103,nan,nan,nan
212,106,Real,5.1027733,nan,nan,nan
213,106,Imag,14.69661661,nan,nan,nan
214,107,Real,2.953261705,nan,nan,nan
215,107,Imag,-8.415052715,-nan,nan,nan
216,108,Real,-1.190076486,nan,nan,nan
217,108,Imag,5.614580365,nan,nan,nan
218,109,Real,7.924036241,nan,nan,nan
219,109,Imag,7.725796753,-nan,nan,nan
220,110,Real,3.778790089,nan,nan,nan
221,110,Imag,0.4317394403,-nan,nan,nan
222,111,Real,-17.07293316,nan,nan,nan
223,111,Imag,-0.1637242576,-nan,nan,nan
224,112,Real,-12.08744823,nan,nan,nan
225,112,Imag,6.084168518,nan,nan,nan
226,113,Real,2.467779629,nan,nan,nan
227,113,Imag,10.63831309,nan,nan,nan
228,114,Real,-13.91323263,nan,nan,nan
229,114,Imag,-17.3980946,nan,nan,nan
230,115,Real,6.049372433,nan,nan,nan
231,115,Imag,1.49710799,-nan,nan,nan
232,116,Real,-1.471487158,nan,nan,nan
233,116,Imag,-5.878655705,nan,nan,nan
234,117,Real,-2.674690358,nan,nan,nan
235,117,Imag,-8.41622179,nan,nan,nan
236,118,Real,4.835556953,nan,nan,nan
237,118,Imag,-5.451313992,nan,nan,nan
238,119,Real,-4.930459569,nan,nan,nan
239,119,Imag,9.504101228,nan,nan,nan
240,120,Real,5.047367949,nan,nan,nan
241,120,Imag,4.91203255,nan,nan,nan
242,121,Real,5.483932704,nan,nan,nan
243,121,Imag,-20.36020206,nan,nan,nan
244,122,Real,-6.693519857,nan,nan,nan
245,122,Imag,-1.612717496,nan,nan,nan
246,123,Real,-8.103861438,nan,nan,nan
247,123,Imag,-4.513330691,nan,nan,nan
248,124,Real,-8.895804712,nan,nan,nan
249,124,Imag,-11.76995146,-nan,nan,nan
250,125,Real,-22.24826767,nan,nan,nan
251,125,Imag,9.236548699,nan,nan,nan
252,126,Real,1.823022245,nan,nan,nan
253,126,Imag,6.287910186,nan,nan,nan
254,127,Real,-5.076819613,-nan,nan,nan
255,127,Imag,-16.62549663,-nan,nan,nan
256,128,Real,-13.80477905,nan,nan,nan
257,128,Imag,16.45630765,nan,nan,nan
258,129,Real,13.48618215,nan,nan,nan
259,129,Imag,0.95200581,nan,nan,nan
260,130,Real,8.850067274,nan,nan,nan
261,130,Imag,-12.29297673,nan,nan,nan
262,131,Real,-3.715338942,nan,nan,nan
263,131,Imag,-4.621418506,nan,nan,nan
264,132,Real,-1.392343338,nan,nan,nan
265,132,Imag,0.89645226,nan,nan,nan
266,133,Real,3.885252942,nan,nan,nan
267,133,Imag,-13.4274611,nan,nan,nan
268,134,Real,2.38611709,-nan,nan,nan
269,134,Imag,-4.052406282,nan,nan,nan
270,135,Real,-7.549293691,nan,nan,nan
271,135,Imag,-6.914280786,nan,nan,nan
272,136,Real,-6.657314655,nan,nan,nan
273,136,Imag,12.27941774,nan,nan,nan
274,137,Real,9.810949034,nan,nan,nan
275,137,Imag,-4.679697887,nan,nan,nan
276,138,Real,14.46938639,nan,nan,nan
277,138,Imag,-1.232643344,nan,nan,nan
278,139,Real,10.86532471,nan,nan,nan
279,139,Imag,-6.412983811,nan,nan,nan
280,140,Real,-5.130320072,nan,nan,nan
281,140,Imag,8.545681512,nan,nan,nan
282,141,Real,-3.594607872,nan,nan,nan
283,141,Imag,16.10645543,nan,nan,nan
284,142,Real,-4.662675757,nan,nan,nan
285,142,Imag,9.267786443,nan,nan,nan
286,143,Real,-1.250181557,-nan,nan,nan
287,143,Imag,-7.951858588,nan,nan,nan
288,144,Real,8.907463073,nan,nan,nan
289,144,Imag,-20.18502901,nan,nan,nan
290,145,Real,-13.39205916,nan,nan,nan
291,145,Imag,6.80887773,nan,nan,nan
292,146,Real,4.050187698,nan,nan,nan
293,146,Imag,7.465275161,nan,nan,nan
294,147,Real,-14.02495749,nan,nan,nan
295,147,Imag,-4.329118232,-nan,nan,nan
296,148,Real,7.207978279,nan,nan,nan
297,148,Imag,-2.734202444,nan,nan,nan
298,149,Real,-12.19383131,nan,nan,nan
299,149,Imag,-19.03100248,nan,nan,nan
300,150,Real,7.360188915,-nan,nan,nan
301,150,Imag,-3.163661478,nan,nan,nan
302,151,Real,12.25239659,nan,nan,nan
303,151,Imag,3.691062603,nan,nan,nan
304,152,Real,6.510550222,nan,nan,nan
305,152,Imag,9.221798164,nan,nan,nan
306,153,Real,-3.138036271,-nan,nan,nan
307,153,Imag,-8.111284835,nan,nan,nan
308,154,Real,-1.748754358,nan,nan,nan
309,154,Imag,-16.73667948,nan,nan,nan
310,155,Real,-1.667215491,nan,nan,nan
311,155,Imag,13.75167074,nan,nan,nan
312,156,Real,-8.497436976,-nan,nan,nan
313,156,Imag,19.02651218,nan,nan,nan
314,157,Real,2.576569465,nan,nan,nan
315,157,Imag,20.30810729,nan,nan,nan
316,158,Real,-4.57663357,nan,nan,nan
317,158,Imag,0.9136975869,nan,nan,nan
318,159,Real,17.85532966,nan,nan,nan
319,159,Imag,-2.87724311,-nan,nan,nan
320,160,Real,14.15900639,nan,nan,nan
321,160,Imag,6.009168104,nan,nan,nan
322,161,Real,-14.16930993,nan,nan,nan
323,161,Imag,-10.34132372,nan,nan,nan
324,162,Real,1.44782741,nan,nan,nan
325,162,Imag,-16.63784772,nan,nan,nan
326,163,Real,5.099317886,nan,nan,nan
327,163,Imag,-10.26936059,nan,nan,nan
328,164,Real,-2.698682286,nan,nan,nan
329,164,Imag,-1.5074097,nan,nan,nan
330,165,Real,2.299302859,nan,nan,nan
331,165,Imag,9.27538242,nan,nan,nan
332,166,Real,5.064317013,nan,nan,nan
333,166,Imag,-9.431741332,nan,nan,nan
334,167,Real,5.37625966,nan,nan,nan
335,167,Imag,-7.23514159,nan,nan,nan
336,168,Real,9.522272453,nan,nan,nan
337,168,Imag,15.13669953,nan,nan,nan
338,169,Real,-11.8327328,nan,nan,nan
339,169,Imag,-9.230098032,nan,nan,nan
340,170,Real,-1.033810408,nan,nan,nan
341,170,Imag,3.757934012,nan,nan,nan
342,171,Real,-19.89054721,nan,nan,nan
343,171,Imag,1.66944796,nan,nan,nan
344,172,Real,-12.05507459,-nan,nan,nan
345,172,Imag,7.311205994,nan,nan,nan
346,173,Real,-14.17528383,nan,nan,nan
347,173,Imag,3.927267558,nan,nan,nan
348,174,Real,-1.818834862,nan,nan,nan
